id,pair_id,order,seed,entity_a,entity_b,status,a_present,b_present,merged,open_leak_a_to_b,open_leak_b_to_a,merged_with_transfer,a_to_b_features,b_to_a_features,evidence
pair/cat__bear/o0/s1238,cat__bear,0,1238,cat,bear,ok,True,True,True,True,True,True,"[""bear's snout""]","[""cat's fur""]","The image shows a cat and a bear with features of each other. The cat has a bear's snout, and the bear has cat-like fur."
pair/dog__turtle/o0/s1235,dog__turtle,0,1235,dog,turtle,ok,True,True,False,False,False,False,"[""turtle shell""]",[],The turtle has a dog's head.
pair/penguin__orange/o0/s1236,penguin__orange,0,1236,penguin,orange,ok,True,True,False,False,False,False,[],"[""orange""]","The orange appears to be a small, round object near the penguins, but it does not show any features of the penguins."
pair/panda__turtle/o0/s1238,panda__turtle,0,1238,panda,turtle,ok,True,True,False,True,False,False,"[""face""]",[],"The panda's face appears on the turtle, indicating a transfer of facial features."
pair/cat__panda/o0/s1239,cat__panda,0,1239,cat,panda,ok,True,True,True,True,True,True,"[""panda's black and white fur""]","[""cat's blue eyes""]","The image shows a hybrid creature with features of both a cat and a panda. The cat's blue eyes are visible on the left side, while the right side displays the black and white fur typical of a panda."
pair/bear__pepper/o1/s1239,bear__pepper,1,1239,bear,pepper,ok,False,True,False,False,False,False,[],"[""bear's paw""]","The pepper on the right has a paw print on it, suggesting that a bear's paw is transferred to the pepper."
pair/leopard__cat/o1/s1238,leopard__cat,1,1238,leopard,cat,ok,True,True,True,True,True,True,"[""tail""]","[""spots""]",The image shows a cat with a leopard's tail and a leopard with a cat's spots.
pair/dog__zebra/o1/s1240,dog__zebra,1,1240,dog,zebra,ok,True,True,False,False,False,False,[],"[""fluffy mane""]","The smaller zebra has a fluffy mane, which is typically associated with dogs rather than zebras."
pair/leopard__strawberry/o1/s1241,leopard__strawberry,1,1241,leopard,strawberry,ok,True,True,False,False,False,True,"[""body parts""]","[""color"", ""pattern""]","The image shows a leopard with a strawberry on its mouth, which appears to be a digitally altered image where the strawberry has been edited to resemble a part of the leopard's body."
pair/dog__zebra/o1/s1239,dog__zebra,1,1239,dog,zebra,ok,True,True,True,True,True,True,"[""brown fur""]","[""striped pattern""]",The image shows a zebra with a dog-like face and a dog with a zebra-like striped pattern.
pair/bear__orange/o0/s1237,bear__orange,0,1237,bear,orange,ok,True,True,False,False,False,False,"[""orange on head""]",[],"The bear has an orange placed on its head, which is not a natural feature of a bear."
pair/watermelon__pepper/o0/s1242,watermelon__pepper,0,1242,watermelon,pepper,ok,True,True,False,False,False,False,"[""pink flesh""]",[],"The watermelon has been cut in half, revealing its pink flesh, which is not typical for a pepper."
pair/frog__lemon/o0/s1236,frog__lemon,0,1236,frog,lemon,ok,True,True,False,True,False,False,"[""orange""]",[],The frog on the right has an orange-like texture and shape on its body.
pair/lion__tiger/o0/s1241,lion__tiger,0,1241,lion,tiger,ok,False,True,False,False,False,False,[],"[""striped_pattern""]",The larger animal has a striped pattern that resembles a tiger's coat.
pair/orange__pumpkin/o0/s1234,orange__pumpkin,0,1234,orange,pumpkin,ok,True,True,False,False,False,False,[],[],
pair/dog__pumpkin/o1/s1239,dog__pumpkin,1,1239,dog,pumpkin,ok,True,True,False,True,False,False,"[""color""]",[],The pumpkin has a black and white pattern resembling a dog's fur.
pair/cat__panda/o1/s1240,cat__panda,1,1240,cat,panda,ok,True,True,True,True,True,True,"[""body parts""]","[""body parts""]","The image shows a hybrid creature with features of both a panda and a cat, such as the black and white patches resembling a panda's fur and the overall body shape resembling a cat."
pair/apple__tomato/o1/s1241,apple__tomato,1,1241,apple,tomato,ok,True,True,False,False,False,False,"[""leaf""]","[""stem""]","The apple has a leaf attached to it, which is typically found on tomatoes but not on apples."
pair/watermelon__lemon/o1/s1234,watermelon__lemon,1,1234,watermelon,lemon,ok,True,True,False,False,False,False,[],[],
pair/orange__strawberry/o0/s1237,orange__strawberry,0,1237,orange,strawberry,ok,False,False,False,False,False,False,[],[],
pair/peach__lemon/o1/s1242,peach__lemon,1,1242,peach,lemon,ok,True,True,False,False,False,False,"[""purple color""]","[""metallic texture""]","The peach has a purple hue, while the apple has a metallic, almost silver-like texture."
pair/orange__peach/o0/s1235,orange__peach,0,1235,orange,peach,ok,True,True,False,False,False,False,"[""textured surface""]","[""textured surface""]",Both fruits have a textured surface that appears to be a fabric-like material.
pair/cat__pear/o0/s1237,cat__pear,0,1237,cat,pear,ok,True,True,False,True,False,False,"[""ears""]",[],The cat has ears that resemble those of a pear.
pair/tiger__penguin/o0/s1241,tiger__penguin,0,1241,tiger,penguin,ok,True,True,True,True,False,True,"[""striped_pattern""]",[],The penguin has been given a tiger-like striped pattern on its body.
pair/apple__pumpkin/o1/s1237,apple__pumpkin,1,1237,apple,pumpkin,ok,False,True,False,False,False,False,[],[],
pair/cat__dog/o0/s1235,cat__dog,0,1235,cat,dog,ok,True,True,False,False,False,False,"[""ears""]","[""stripes""]","The left animal has cat-like ears, while the right animal has cat-like stripes."
pair/bear__orange/o0/s1234,bear__orange,0,1234,bear,orange,ok,True,True,False,False,False,False,"[""nose""]",[],The bear's nose appears on some of the oranges.
pair/apple__strawberry/o1/s1240,apple__strawberry,1,1240,apple,strawberry,ok,True,True,False,False,False,False,"[""leaves""]",[],"The apple has leaves attached to it, which are typically associated with strawberries."
pair/turtle__peach/o0/s1243,turtle__peach,0,1243,turtle,peach,ok,True,True,True,True,False,True,"[""color"", ""pattern""]","[""color"", ""pattern""]",The image shows a turtle with a peach-like body and a peach with a turtle-like head.
pair/cat__panda/o1/s1241,cat__panda,1,1241,cat,panda,ok,True,True,False,False,False,False,"[""panda-like face""]",[],The cat has been given a panda-like face with black and white markings.
pair/tiger__penguin/o0/s1235,tiger__penguin,0,1235,tiger,penguin,ok,True,True,False,False,False,False,"[""penguin's beak""]","[""tiger's stripes""]","The penguin has a tiger-like beak, while the tiger has penguin-like stripes."
pair/lion__pepper/o1/s1240,lion__pepper,1,1240,lion,pepper,ok,True,True,False,False,False,False,"[""green pepper""]",[],"The lion in the top left corner is holding a green pepper, indicating that the pepper has features from the lion."
pair/tiger__dog/o1/s1236,tiger__dog,1,1236,tiger,dog,ok,True,True,True,True,True,True,"[""ears""]","[""face"", ""ears""]","The image shows a tiger with a dog's face and ears, indicating a merged and transferred feature scenario."
pair/bear__apple/o1/s1242,bear__apple,1,1242,bear,apple,ok,True,True,False,False,False,False,"[""gray fur""]","[""red blush""]","The bear has gray fur, which is transferred to the apple, giving it a grayish tint. The apple has red blush, which is transferred to the bear, making its fur appear slightly reddish."
pair/apple__tomato/o0/s1236,apple__tomato,0,1236,apple,tomato,ok,True,True,False,False,False,False,[],[],
pair/leopard__strawberry/o1/s1235,leopard__strawberry,1,1235,leopard,strawberry,ok,True,True,False,False,False,False,"[""leopard spots""]","[""strawberry stem""]","The leopard has spots that resemble strawberry seeds, and the strawberry has a stem that resembles a leopard's ear."
pair/bear__pepper/o1/s1235,bear__pepper,1,1235,bear,pepper,ok,True,True,False,False,False,False,[],"[""pumpkin""]",The bear has a pumpkin-like texture and shape.
pair/peach__lemon/o1/s1235,peach__lemon,1,1235,peach,lemon,ok,False,False,True,False,False,True,"[""textured surface""]","[""textured surface""]","Both objects have a similar textured surface, suggesting they are merged with transfer of features."
pair/turtle__pumpkin/o0/s1241,turtle__pumpkin,0,1241,turtle,pumpkin,ok,True,False,False,False,False,False,[],[],
pair/tomato__lemon/o0/s1238,tomato__lemon,0,1238,tomato,lemon,ok,False,True,False,False,False,False,[],"[""leaves""]","The lemon has leaves attached to it, which are not typical for lemons."
pair/tomato__pumpkin/o1/s1241,tomato__pumpkin,1,1241,tomato,pumpkin,ok,True,True,False,False,False,False,"[""tail""]",[],The pumpkin has a tail-like extension that resembles a tomato's stem.
pair/frog__turtle/o1/s1238,frog__turtle,1,1238,frog,turtle,ok,True,True,False,True,True,False,"[""frog eyes""]","[""turtle shell""]","The turtle has frog-like eyes, while the frog has a turtle shell."
pair/peach__pear/o0/s1234,peach__pear,0,1234,peach,pear,ok,True,True,False,False,False,False,"[""greenish-blue skin""]","[""red and yellow skin""]","The peach has greenish-blue skin, while the pear has red and yellow skin."
pair/frog__pepper/o1/s1234,frog__pepper,1,1234,frog,pepper,ok,True,True,False,False,False,False,[],"[""green color"", ""leaves""]","The pepper has green color and leaves, which are typically associated with plants."
pair/watermelon__lemon/o1/s1235,watermelon__lemon,1,1235,watermelon,lemon,ok,False,False,True,False,False,True,"[""watermelon texture""]","[""lemon texture""]","The objects appear to be a hybrid with features of both a watermelon and a lemon, suggesting they are merged and have transferred features."
pair/lion__dog/o1/s1241,lion__dog,1,1241,lion,dog,ok,True,True,False,False,False,False,"[""white fur""]","[""white fur""]","Both animals have white fur, which suggests they might be the same species or that the image has been edited to make them look alike."
pair/dog__turtle/o0/s1236,dog__turtle,0,1236,dog,turtle,ok,True,True,False,True,False,False,"[""turtle shell""]",[],The turtle has a dog-like head with fur and facial features.
pair/bear__strawberry/o0/s1238,bear__strawberry,0,1238,bear,strawberry,ok,True,True,True,True,True,True,"[""body""]","[""color"", ""texture""]","The bear has a strawberry-like body, while the strawberries have bear-like features such as fur texture."
pair/tiger__apple/o0/s1240,tiger__apple,0,1240,tiger,apple,ok,True,True,False,False,False,False,[],"[""striped_pattern""]",The tiger's stripes are present on the apples.
